Teams,Name,Letter,Color – Above,Color – Below,,,,,,,,,,,,,
Team A,Jaguars,J,#daa10c,#027391,,,,,,,,,,,,,
Team B,Patriots,P,#be0824,#0e264b,,,,,,,,,,,,,
Intro Screens Series - Sign-in ,,,,,,,,,,,,,,,,,
,Pre-Picks,,,,,,,,,,,,,,,,
Order/Type,Subject Title,Play Title,Slider Type,Thumb Team Indicator,Options,Team Specific,Short Title,Correct Option,Message  Play Card,Play Action -                   Whistle to Whistle,Play Footage - IN,Play Footage - Out,"PA special Timer - GM, Priz, SPON       5s, 10s, 15s",Automated Triggered LOCKOUT / TIME OUT Message Card ,Prize/Winnings,BG,
1,Who,Who Wins the Coin Toss?,A / B,,Jaguars / Patriots,--,Coin Toss?,Jaguars,                                                               PICK and WIN                                                          10 picks TOTAL                                                                                Use YOUR  points & tokens                           For YOUR FREE Player Prize Tickets,,,,,,,,
2,Most Passes,What team will complete the most passes?,A / B,,Jaguars / Patriots,--,Most Passes?,Team B - Patriots,                                                               pick 9 more and select your first free prize ticket ,,--,,,,,,
3,Predict,Predict The Jaguars Score?,A / B,J,Under   /   Over                                       21     ,Jaguars,Jaguars  Score, Under - Score: 20 ,                                                                            apply YOUR points & tokens               to the game in 2 hours  ,,--,,,,,,
4,Predict,Predict The Patriots Score?,A / B,P,Under   /    Over                                              21,Patriots, Patriots Score,Over - Score: 24   ,                                                         7 more Pre-Picks                                      and select your prize ticket,,,,,,,,
5,First,First Quarterback Sacked ?,A / B,,Jaguars / Patriots,--,First QB Sacked,Team B - Patriots,6 picks to go,,,,,,,,
6,Most Flags,Most Penalty Flags ,A / B,,Jaguars / Patriots,--,Most Flags?,Team A - Jaguars,                                                                      use surplus points & tokens for the game DEMO and LIVE Play,,,,,,,,
7,Penalty,Total Penalty Yards Jaguars ,Number Slider,J,"0 -10, 15-30, 35-40, 45-50, +50",Jaguars,Jaguars Penalty Yards,98,                                                             4 more picks and claim your first                           FREE PrizeTicket,,,,,,,,
8,Penalty,Total Penalty Yards Patriots,Number Slider,P,"0 -10, 15-30, 35-40, 45-50, +50",Patriots,Patriots Penalty Yards,10,                                                              3 more PICKS to go                          ,,,,,,,,
9,Possession,Most Time of Possession,A / B,,Jaguars / Patriots,--,Most Possession,Team A - Jaguars,2 more PRE-PICKS,,,,,,,,
10,Field Goals ,"Most Field Goal Attempts ""GOOD""",A / B,,Jaguars / Patriots,--,FG Attempts,Team B - Patriots,FINAL PRE-PICK and claim your             first prize ticket,,,,,,,,
,Live Game •,,,,,,,,,,,,,,,,
